Node Numbers,X Locations (inches),Y Locations (inches),Z Locations (inches),Equivalent Elastic Strains (in/in),Equivalent Stress (psi),Max Principal Elastic Strain (in/in),Max Principal Stress (psi),Middle Principal Elastic Strain (in/in),Middle Principal Stress (psi),Min Principal Elastic Strain (in/in),Min Principal Stress (psi),Total Deformation (in)
29061,21.252,3.3636,0.1,6.7333e-05,672.86,6.4434e-05,603.77,-1.5926e-05,-0.025546,-3.2104e-05,-121.59,1.8718
29062,21.344,3.2727,0.1,6.5884e-05,658.38,6.2886e-05,587.45,-1.5301e-05,-0.022703,-3.1824e-05,-124.18,1.8845
29063,21.252,3.5455,0.1,6.7291e-05,672.44,6.4348e-05,602.42,-1.5834e-05,-0.029756,-3.2204e-05,-123.02,1.8717
29064,21.344,3.4545,0.1,6.5908e-05,658.63,6.285e-05,586.44,-1.5204e-05,-0.026921,-3.1986e-05,-126.12,1.8844
29065,21.252,3.7273,0.1,6.715e-05,671.03,6.4168e-05,600.24,-1.5723e-05,-0.034846,-3.225e-05,-124.21,1.8717
29066,21.344,3.6364,0.1,6.5869e-05,658.24,6.2742e-05,584.64,-1.5073e-05,-0.032752,-3.2143e-05,-128.29,1.8844
29067,21.252,3.9091,0.1,6.6846e-05,668,6.3853e-05,597,-1.5608e-05,-0.039843,-3.2169e-05,-124.47,1.8716
29068,21.344,3.8182,0.1,6.5689e-05,656.44,6.2508e-05,581.77,-1.4926e-05,-0.039255,-3.2209e-05,-129.89,1.8843
29069,21.252,4.0909,0.1,6.6324e-05,662.78,6.3364e-05,592.54,-1.5504e-05,-0.043645,-3.1892e-05,-123.17,1.8715
29070,21.344,4,0.1,6.5289e-05,652.44,6.2095e-05,577.58,-1.4782e-05,-0.04506,-3.209e-05,-130.09,1.8842
29071,21.252,4.2727,0.1,6.5549e-05,655.03,6.2683e-05,586.84,-1.5427e-05,-0.045365,-3.1367e-05,-119.81,1.8713
29072,21.344,4.1818,0.1,6.4608e-05,645.63,6.1466e-05,571.93,-1.466e-05,-0.048685,-3.1709e-05,-128.15,1.8841
29073,21.252,4.4545,0.1,6.4515e-05,644.71,6.1811e-05,580,-1.5389e-05,-0.044552,-3.0573e-05,-114.13,1.8712
29074,21.344,4.3636,0.1,6.362e-05,635.76,6.0609e-05,564.87,-1.4577e-05,-0.049255,-3.102e-05,-123.6,1.8839
29075,21.252,4.6364,0.1,6.3252e-05,632.08,6.0774e-05,572.29,-1.5398e-05,-0.041279,-2.9517e-05,-106.13,1.871
29076,21.344,4.5455,0.1,6.2343e-05,623,5.9544e-05,556.63,-1.4545e-05,-0.046753,-3.0019e-05,-116.32,1.8837
29077,21.252,4.8182,0.1,6.1813e-05,617.7,5.9616e-05,564.04,-1.5458e-05,-0.03578,-2.8236e-05,-96.04,1.8708
29078,21.344,4.7273,0.1,6.0832e-05,607.9,5.8316e-05,547.6,-1.4571e-05,-0.04171,-2.8739e-05,-106.49,1.8836
29079,21.252,5,0.1,6.0268e-05,602.27,5.8391e-05,555.69,-1.5571e-05,-0.028469,-2.6781e-05,-84.257,1.8706
29080,21.344,4.9091,0.1,5.9167e-05,591.26,5.6987e-05,538.26,-1.4655e-05,-0.034496,-2.7237e-05,-94.571,1.8834
29081,21.252,5.1818,0.1,5.8692e-05,586.51,5.7154e-05,547.63,-1.5734e-05,-0.017512,-2.5212e-05,-71.234,1.8703
