Node Numbers,X Locations (inches),Y Locations (inches),Z Locations (inches),Equivalent Elastic Strains (in/in),Equivalent Stress (psi),Max Principal Elastic Strain (in/in),Max Principal Stress (psi),Middle Principal Elastic Strain (in/in),Middle Principal Stress (psi),Min Principal Elastic Strain (in/in),Min Principal Stress (psi),Total Deformation (in)
153,2.426,3.9259,0.05,3.5991e-06,35.966,2.7637e-06,20.765,-2.2338e-13,2.0515e-08,-2.7637e-06,-20.765,0.0071217
154,2.488,4.9629,0,0.00011242,1123.4,6.8586e-05,318.88,6.4503e-06,-147.99,-0.00010198,-962.65,0.0072734
155,2.488,1.9629,0,0.00011124,1111.6,6.9539e-05,313.37,1.9244e-06,-194.66,-0.00010014,-961.52,0.0075976
156,1.213,3.4629,0,0.00010262,1025.5,3.5073e-05,-300.3,2.4017e-06,-545.78,-0.00011479,-1426.3,0.0017979
157,3.763,4.4629,0,0.00011938,1193,6.3881e-05,162.71,7.9152e-06,-257.8,-0.0001153,-1183.6,0.016446
158,7.8295,2.7577,0,6.6686e-05,666.4,2.9002e-05,95.703,1.8653e-05,17.944,-6.4412e-05,-606.17,0.078974
159,7.0013,3.0472,0.05,1.0869e-05,108.61,8.3458e-06,62.707,6.4547e-14,7.4725e-06,-8.3458e-06,-62.707,0.062979
160,6.134,2.2736,0,0.0001063,1062.3,4.6785e-05,25.462,1.5969e-05,-206.08,-0.00010746,-1133.5,0.047895
161,6.134,2.5236,0,0.00016763,1675.2,5.111e-05,-219,4.2313e-05,-285.1,-0.00017611,-1926.3,0.047873
162,5.0415,3.2026,0,0.00021498,2148.3,8.2585e-05,141.65,6.3947e-05,1.6105,-0.0002122,-2073.2,0.030885
163,4.9693,3.2757,0.05,1.7938e-05,179.25,1.3774e-05,103.49,-2.9217e-21,1.0633e-06,-1.3774e-05,-103.49,0.029856
164,5.0347,3.6379,0,0.00029093,2907.3,0.00011681,-44.971,5.4264e-05,-514.91,-0.00029759,-3158.6,0.030237
165,5.2436,3.1968,0,0.00020505,2049.1,8.3219e-05,168.31,5.615e-05,-35.068,-0.00020203,-1974.9,0.033658
166,5.1137,3.1295,0.05,7.0641e-06,70.592,5.4243e-06,40.756,9.0653e-13,3.4458e-06,-5.4243e-06,-40.756,0.031906
167,5.3735,3.2641,0.05,1.5861e-05,158.5,1.2179e-05,91.512,-2.5834e-21,1.874e-05,-1.2179e-05,-91.512,0.035449
168,8.6577,2.4682,0.05,2.3292e-06,23.276,1.7885e-06,13.438,7.8448e-14,1.1368e-06,-1.7885e-06,-13.438,0.09583
169,8.5233,1.2341,0,5.0085e-05,500.5,1.8016e-05,-4.1841,1.3561e-05,-37.659,-5.0712e-05,-520.58,0.093673
170,8.5233,4.2341,0,5.0795e-05,507.59,2.2432e-05,4.8644,6.7203e-06,-113.19,-5.1596e-05,-551.35,0.091594
171,6.9622,1.7341,0,8.0191e-05,801.36,3.1263e-05,-19.989,1.599e-05,-134.75,-8.2204e-05,-872.54,0.062865
172,7.8295,2.7577,0.1,6.6686e-05,666.4,6.4412e-05,606.17,-1.8653e-05,-17.944,-2.9002e-05,-95.703,0.078974
173,10.118,2.7359,0.1,4.7149e-05,471.17,4.7877e-05,500.54,-9.5116e-06,69.347,-1.9057e-05,-2.3719,0.12687
174,6.9622,1.7341,0.1,8.0191e-05,801.36,8.2204e-05,872.54,-1.599e-05,134.75,-3.1263e-05,19.989,0.062865
175,8.5233,4.2341,0.1,5.0795e-05,507.59,5.1596e-05,551.35,-6.7203e-06,113.19,-2.2432e-05,-4.8644,0.091594
176,8.5233,1.2341,0.1,5.0085e-05,500.5,5.0712e-05,520.58,-1.3561e-05,37.659,-1.8016e-05,4.1841,0.093673
177,5.2436,3.1968,0.1,0.00020505,2049.1,0.00020203,1974.9,-5.615e-05,35.068,-8.3219e-05,-168.31,0.033658
178,5.5518,3.2334,0.1,0.00016969,1695.7,0.00016339,1566.2,-3.4622e-05,78.428,-8.2343e-05,-280.13,0.038149
179,5.3282,3.3555,0.1,0.00019199,1918.6,0.00018873,1833.6,-5.4649e-05,4.9245,-7.7104e-05,-163.8,0.03469
180,5.0415,3.2026,0.1,0.00021498,2148.3,0.0002122,2073.2,-6.3947e-05,-1.6105,-8.2585e-05,-141.65,0.030885
181,5.149,3.2802,0.1,0.00022326,2231,0.0002199,2137.1,-6.8707e-05,-31.346,-8.4703e-05,-151.53,0.032254
182,5.1342,2.8975,0.1,0.00021962,2194.7,0.00021206,1990.5,-6.332e-05,-78.616,-9.4281e-05,-311.24,0.032347
183,4.8141,3.0717,0.1,0.00019172,1915.9,0.00018897,1855.8,-4.9069e-05,67.249,-8.0122e-05,-166.07,0.028094
184,5.0347,3.6379,0.1,0.00029093,2907.3,0.00029759,3158.6,-5.4264e-05,514.91,-0.00011681,44.971,0.030237
185,6.8593,3.4868,0.1,7.9589e-05,795.34,7.4353e-05,653.93,-2.289e-05,-76.715,-3.8399e-05,-193.24,0.06001
186,6.134,2.2736,0.1,0.0001063,1062.3,0.00010746,1133.5,-1.5969e-05,206.08,-4.6785e-05,-25.462,0.047895
187,6.134,2.5236,0.1,0.00016763,1675.2,0.00017611,1926.3,-4.2313e-05,285.1,-5.111e-05,219,0.047873
188,3.763,4.4629,0.1,0.00011938,1193,0.0001153,1183.6,-7.9152e-06,257.8,-6.3881e-05,-162.71,0.016446
189,1.213,3.4629,0.1,0.00010262,1025.5,0.00011479,1426.3,-2.4017e-06,545.78,-3.5073e-05,300.3,0.0017979
190,2.488,1.9629,0.1,0.00011124,1111.6,0.00010014,961.52,-1.9244e-06,194.66,-6.9539e-05,-313.37,0.0075976
191,2.488,4.9629,0.1,0.00011242,1123.4,0.00010198,962.65,-6.4503e-06,147.99,-6.8586e-05,-318.88,0.0072734
192,6.2238,3.5645,0.1,0.00011172,1116.4,0.00010563,976.37,-2.4093e-05,1.6907,-5.648e-05,-241.65,0.048715
193,5.992,4.4632,0.1,7.7143e-05,770.89,8.0084e-05,867.59,-1.4894e-05,153.97,-2.8733e-05,49.985,0.043573
