Node Number	X Location (m)	Y Location (m)	Z Location (m)	Middle Principal Stress (Pa)
432	0.43894	4.4331e-002	0.	-14693
433	0.44007	2.8861e-002	1.27e-003	1.5601e-002
434	0.44096	1.443e-002	0.	6178.
435	0.48219	2.9895e-002	0.	-563.1
436	0.467	4.4995e-002	0.	-2217.7
437	0.46804	2.9836e-002	1.27e-003	1.5813e-002
438	0.46892	1.4918e-002	0.	702.06
439	0.51047	3.0016e-002	0.	-3323.8
440	0.49544	4.5162e-002	0.	-6095.7
441	0.49633	2.9953e-002	1.27e-003	1.6886e-002
442	0.49705	1.4976e-002	0.	131.75
443	0.53877	3.0153e-002	0.	-3878.4
444	0.52395	4.5314e-002	0.	-6034.3
445	0.52461	3.008e-002	1.27e-003	1.9416e-002
446	0.52516	1.504e-002	0.	-240.21
447	0.5671	3.0313e-002	0.	-4016.6
448	0.55246	4.538e-002	0.	-6069.7
449	0.55292	3.0227e-002	1.27e-003	2.1327e-002
450	0.5533	1.5113e-002	0.	-621.09
451	0.58103	4.568e-002	0.	-6244.4
452	0.58128	3.0399e-002	1.27e-003	2.1775e-002
453	0.58146	1.52e-002	0.	-795.53
454	0.59544	3.044e-002	0.	-4114.7
455	3.7123e-002	0.12357	0.	-1.4585e+006
456	2.4972e-002	0.12275	1.27e-003	1.5438e-002
457	2.5249e-002	0.13758	0.	-1.1252e+006
458	1.2486e-002	0.12234	0.	-4.1563e+006
459	0.5805	7.6134e-002	0.	-8660.7
460	0.56639	6.0747e-002	0.	-8358.2
461	0.58079	6.096e-002	1.27e-003	1.9638e-002
462	0.5952	6.096e-002	0.	-8836.3
463	0.58006	0.10658	0.	-6701.8
464	0.56561	9.1209e-002	0.	-8681.6
465	0.5802	9.1307e-002	1.27e-003	2.061e-002
466	0.5949	9.1374e-002	0.	-9086.
467	0.56511	0.12179	0.	-4601.5
468	0.57991	0.12185	1.27e-003	2.2271e-002
469	0.59475	0.12188	0.	-4578.7
470	0.57995	0.13712	0.	-1305.8
471	0.53572	0.1217	0.	-4616.3
472	0.55067	0.10642	0.	-6521.3
