Node Number	X Location (m)	Y Location (m)	Z Location (m)	Maximum Principal Elastic Strain (m/m)
497	0.37122	0.11588	1.27e-003	3.9474e-007
498	0.372	0.13414	0.	9.426e-006
499	0.3259	0.11494	0.	1.249e-005
500	0.33975	9.6514e-002	0.	1.1481e-005
501	0.34107	0.11521	1.27e-003	3.8279e-007
502	0.34212	0.1338	0.	1.1575e-005
503	0.29553	0.11447	0.	1.4937e-005
504	0.30929	9.6046e-002	0.	1.3582e-005
505	0.31073	0.11468	1.27e-003	4.5174e-007
506	0.31215	0.13354	0.	1.3876e-005
507	0.26477	0.11421	0.	1.8265e-005
508	0.27885	9.5294e-002	0.	1.6688e-005
509	0.28033	0.11426	1.27e-003	4.7317e-007
510	0.28215	0.13333	0.	1.6261e-005
511	0.23325	0.1141	0.	2.2508e-005
512	0.24763	9.5306e-002	0.	2.0225e-005
513	0.24921	0.11415	1.27e-003	5.575e-007
514	0.25178	0.13328	0.	1.9533e-005
515	0.19949	0.11393	0.	2.6996e-005
516	0.21535	9.5161e-002	0.	2.5366e-005
517	0.2173	0.11405	1.27e-003	7.2759e-007
518	0.22103	0.13322	0.	2.3701e-005
519	0.16985	0.12259	0.	2.8991e-005
520	0.18122	9.5206e-002	0.	2.9337e-005
521	0.16278	0.10732	0.	3.3497e-005
