Node Number	X Location (m)	Y Location (m)	Z Location (m)	Equivalent Elastic Strain (m/m)
424	0.38728	4.2927e-002	0.	2.2925e-005
425	0.3854	3.044e-002	1.27e-003	6.8578e-007
426	0.38567	1.522e-002	0.	2.348e-005
427	0.42673	2.8687e-002	0.	1.6083e-005
428	0.41211	4.3633e-002	0.	1.8421e-005
429	0.41339	2.8513e-002	1.27e-003	5.1268e-007
430	0.41364	1.4256e-002	0.	1.8137e-005
431	0.45405	2.9349e-002	0.	1.1909e-005
432	0.43894	4.4331e-002	0.	1.3896e-005
433	0.44007	2.8861e-002	1.27e-003	4.0213e-007
434	0.44096	1.443e-002	0.	1.3772e-005
435	0.48219	2.9895e-002	0.	8.3147e-006
436	0.467	4.4995e-002	0.	1.0092e-005
437	0.46804	2.9836e-002	1.27e-003	3.1706e-007
438	0.46892	1.4918e-002	0.	9.7904e-006
439	0.51047	3.0016e-002	0.	5.4051e-006
440	0.49544	4.5162e-002	0.	6.7994e-006
441	0.49633	2.9953e-002	1.27e-003	2.255e-007
442	0.49705	1.4976e-002	0.	6.5736e-006
443	0.53877	3.0153e-002	0.	3.219e-006
444	0.52395	4.5314e-002	0.	4.2276e-006
445	0.52461	3.008e-002	1.27e-003	1.6832e-007
446	0.52516	1.504e-002	0.	4.0428e-006
447	0.5671	3.0313e-002	0.	1.7593e-006
448	0.55246	4.538e-002	0.	2.4183e-006
449	0.55292	3.0227e-002	1.27e-003	1.1616e-007
450	0.5533	1.5113e-002	0.	2.2096e-006
451	0.58103	4.568e-002	0.	1.3861e-006
452	0.58128	3.0399e-002	1.27e-003	7.6748e-008
453	0.58146	1.52e-002	0.	1.0816e-006
454	0.59544	3.044e-002	0.	1.0212e-006
455	3.7123e-002	0.12357	0.	1.3377e-004
456	2.4972e-002	0.12275	1.27e-003	1.9e-006
457	2.5249e-002	0.13758	0.	1.3905e-004
458	1.2486e-002	0.12234	0.	1.1851e-004
459	0.5805	7.6134e-002	0.	1.5774e-006
460	0.56639	6.0747e-002	0.	2.061e-006
461	0.58079	6.096e-002	1.27e-003	7.4632e-008
462	0.5952	6.096e-002	0.	1.4102e-006
463	0.58006	0.10658	0.	1.4104e-006
464	0.56561	9.1209e-002	0.	2.091e-006
465	0.5802	9.1307e-002	1.27e-003	7.7017e-008
466	0.5949	9.1374e-002	0.	1.4149e-006
467	0.56511	0.12179	0.	1.8454e-006
468	0.57991	0.12185	1.27e-003	8.0186e-008
469	0.59475	0.12188	0.	1.04e-006
470	0.57995	0.13712	0.	1.1322e-006
471	0.53572	0.1217	0.	3.4201e-006
472	0.55067	0.10642	0.	2.5082e-006
473	0.55031	0.12174	1.27e-003	1.1972e-007
474	0.55035	0.13707	0.	2.3655e-006
475	0.50646	0.1216	0.	5.7602e-006
476	0.52158	0.1064	0.	4.4091e-006
477	0.52112	0.12166	1.27e-003	1.7321e-007
478	0.52096	0.13703	0.	4.3679e-006
479	0.4771	0.12149	0.	8.8822e-006
480	0.4924	0.10629	0.	7.0935e-006
481	0.49181	0.12154	1.27e-003	2.2896e-007
482	0.4915	0.13697	0.	7.1308e-006
483	0.44755	0.12129	0.	1.2947e-005
484	0.46316	0.10618	0.	1.0562e-005
485	0.4624	0.12144	1.27e-003	3.5334e-007
486	0.46199	0.13692	0.	1.0676e-005
487	0.41723	0.1201	0.	1.7755e-005
488	0.43372	0.10582	0.	1.4945e-005
489	0.4327	0.12114	1.27e-003	5.207e-007
490	0.43234	0.13677	0.	1.5191e-005
491	0.38649	0.11747	0.	2.3234e-005
492	0.40316	0.10401	0.	2.0139e-005
493	0.40175	0.11906	1.27e-003	4.2705e-007
494	0.40206	0.13573	0.	2.047e-005
495	0.35615	0.11554	0.	2.9717e-005
496	0.37114	9.6621e-002	0.	2.5899e-005
497	0.37122	0.11588	1.27e-003	5.1407e-007
498	0.372	0.13414	0.	2.6102e-005
499	0.3259	0.11494	0.	3.705e-005
