Node Number	X Location (m)	Y Location (m)	Z Location (m)	Equivalent (von-Mises) Stress (Pa)
61	0.55102	9.1111e-002	0.	1.8146e+005
62	0.52204	9.1146e-002	0.	3.0899e+005
63	0.493	9.1044e-002	0.	4.9111e+005
64	0.46392	9.0908e-002	0.	7.2594e+005
65	0.43473	9.0508e-002	0.	1.0137e+006
66	0.40457	8.8948e-002	0.	1.391e+006
67	0.37106	7.736e-002	0.	1.766e+006
68	0.33843	7.7823e-002	0.	2.3413e+006
69	0.30785	7.7409e-002	0.	2.8517e+006
70	0.27737	7.6329e-002	0.	3.4261e+006
71	0.24605	7.6458e-002	0.	4.0567e+006
72	0.21339	7.6273e-002	0.	4.8231e+006
73	0.14387	0.10084	0.	7.1648e+006
74	8.5699e-002	2.387e-002	0.	6.136e+006
75	6.5628e-002	4.8516e-002	0.	9.5523e+006
76	3.3412e-002	3.3722e-002	0.	9.6885e+006
77	7.0293e-002	0.12551	0.	7.8684e+006
78	4.9275e-002	0.1244	0.	8.7573e+006
79	9.119e-002	0.12268	0.	7.424e+006
80	8.7033e-002	0.10549	0.	1.1713e+007
81	0.12263	2.4795e-002	0.	4.4249e+006
82	0.10824	6.1782e-002	0.	1.518e+007
83	9.1163e-002	8.7056e-002	0.	1.322e+007
84	0.14302	7.637e-002	0.	8.1806e+006
85	8.472e-002	0.11667	0.	9.6416e+006
86	8.472e-002	0.11667	2.54e-003	9.6416e+006
87	0.14302	7.637e-002	2.54e-003	8.1806e+006
88	9.1163e-002	8.7056e-002	2.54e-003	1.322e+007
89	0.10824	6.1782e-002	2.54e-003	1.518e+007
90	0.12263	2.4795e-002	2.54e-003	4.4249e+006
91	8.7033e-002	0.10549	2.54e-003	1.1713e+007
92	9.119e-002	0.12268	2.54e-003	7.424e+006
93	4.9275e-002	0.1244	2.54e-003	8.7573e+006
94	7.0293e-002	0.12551	2.54e-003	7.8684e+006
95	3.3412e-002	3.3722e-002	2.54e-003	9.6885e+006
96	6.5628e-002	4.8516e-002	2.54e-003	9.5523e+006
97	8.5699e-002	2.387e-002	2.54e-003	6.136e+006
98	0.14387	0.10084	2.54e-003	7.1648e+006
99	0.21339	7.6273e-002	2.54e-003	4.8231e+006
100	0.24605	7.6458e-002	2.54e-003	4.0567e+006
101	0.27737	7.6329e-002	2.54e-003	3.4261e+006
102	0.30785	7.7409e-002	2.54e-003	2.8517e+006
103	0.33843	7.7823e-002	2.54e-003	2.3413e+006
104	0.37106	7.736e-002	2.54e-003	1.766e+006
