NodeIndex,X,Y,Z,Weight,StrainValue,CutLocation
8755,21.226,6,0,0.470718276396854,5.8354e-05,0.9
30004,21.226,6,0.05,0.217167165003088,8.7059e-06,0.9
30653,21.133,6,0,0.182666793825643,6.0388e-05,0.9
9697,21.226,5.9091,0,0.129447764774415,5.9172e-05,0.9
30976,5.1257,6,0,0.514099061823147,0.00048197,1
8911,5.0336,6,0,0.198981112783964,0.0004843,1
30058,5.0336,6,0.05,0.158954781168906,6.5864e-06,1
30057,5.1257,6,0.1,0.127965044223983,0.00048197,1
8900,7.0591,6,0,0.351827178957949,0.00042555,1
30965,7.1512,6,0,0.281049445691013,0.00042275,1
30080,7.0591,6,0.05,0.222760605041561,1.0671e-05,1
9524,7.0591,5.9091,0,0.144362770309477,0.00042537,1
30954,9.1767,6,0,0.543613514534861,0.00036253,1
8888,9.2688,6,0,0.184101669893335,0.00035986,1
30104,9.2688,6,0.05,0.148927097109941,1.281e-05,1
30101,9.1767,6,0.1,0.123357718461863,0.00036253,1
8878,11.11,6,0,0.700565323475553,0.00030773,1
30124,11.11,6,0.05,0.137392163651854,1.3256e-05,1
30944,11.018,6,0,0.0854347955457985,0.00031028,1
9612,11.11,5.9091,0,0.0766077173267937,0.000308,1
8856,15.161,6,0,0.364276673275194,0.00020076,1
30921,15.253,6,0,0.268052646372307,0.00019845,1
30168,15.161,6,0.05,0.224041737586664,1.2591e-05,1
9700,15.161,5.9091,0,0.143628942765835,0.00020123,1
30911,17.095,6,0,0.862846067696749,0.00015319,1
8845,17.187,6,0,0.0495888544653559,0.00015098,1
8846,17.003,6,0,0.0444766014276896,0.00015541,1
30187,17.095,6,0.1,0.0430884764102059,0.00015319,1
8823,21.238,6,0,0.3711286898621,5.8088e-05,1
30889,21.146,6,0,0.261164633606672,6.0113e-05,1
30234,21.238,6,0.05,0.224563760337209,8.6878e-06,1
9832,21.238,5.9091,0,0.143142916194019,5.8907e-05,1
30741,5.0556,6,0,0.333609160786848,0.0004828,1.1
8843,5.148,6,0,0.308588473727831,0.00048064,1.1
29828,5.148,6,0.05,0.213707339869008,6.9862e-06,1.1
9412,5.148,5.9091,0,0.144095025616312,0.0004804,1.1
30730,7.0886,6,0,0.727924688285278,0.0004246,1.1
8832,7.181,6,0,0.102448659832743,0.0004218,1.1
29850,7.181,6,0.05,0.0871772640875444,1.0855e-05,1.1
29847,7.0886,6,0.1,0.0824493877944346,0.0004246,1.1
8821,9.2141,6,0,0.623140899995624,0.00036144,1.1
29872,9.2141,6,0.05,0.169129441412388,1.2777e-05,1.1
30719,9.1217,6,0,0.112213112259757,0.00036413,1.1
9500,9.2141,5.9091,0,0.0955165463322304,0.00036156,1.1
8811,11.062,6,0,0.37289938314887,0.00030905,1.1
30708,11.155,6,0,0.25763957381195,0.0003065,1.1
29892,11.062,6,0.05,0.225635177216968,1.3251e-05,1.1
9540,11.062,5.9091,0,0.143825865822212,0.00030933,1.1
30686,15.221,6,0,0.575788063249036,0.00019927,1.1
8789,15.128,6,0,0.167938185114311,0.00020159,1.1
29936,15.128,6,0.05,0.137939381342576,1.2602e-05,1.1
29935,15.221,6,0.1,0.118334370294077,0.00019927,1.1
30676,17.069,6,0,0.457601967187928,0.00015381,1.1
8778,17.162,6,0,0.22880098359399,0.00015159,1.1
29958,17.162,6,0.05,0.17810166907434,1.1841e-05,1.1
29955,17.069,6,0.1,0.135495380143741,0.00015381,1.1
8756,21.228,6,0,0.451721384346697,5.8314e-05,1.1
30002,21.228,6,0.05,0.220712590210366,8.703e-06,1.1
30654,21.135,6,0,0.194587673257061,6.0346e-05,1.1
9760,21.228,5.9091,0,0.132978352185876,5.9131e-05,1.1
30977,5.1389,6,0,0.37944298664288,0.00047991,1.2
8912,5.0469,6,0,0.27797235744648,0.00048203,1.2
30056,5.0469,6,0.05,0.20237470770235,6.9485e-06,1.2
11614,5.0469,5.9091,0,0.14020994820829,0.00048188,1.2
8901,7.071,6,0,0.441311226410005,0.00042508,1.2
30078,7.071,6,0.05,0.221413825509298,1.0666e-05,1.2
30966,7.163,6,0,0.203143262950635,0.00042231,1.2
12681,7.071,5.9091,0,0.134131685130062,0.00042491,1.2
30955,9.1871,6,0,0.699849940490858,0.00036223,1.2
8889,9.2791,6,0,0.114134819624932,0.00035957,1.2
30102,9.2791,6,0.05,0.0964765305011861,1.2789e-05,1.2
30099,9.1871,6,0.1,0.0895387093830233,0.00036223,1.2
8879,11.119,6,0,0.549423087087723,0.00030748,1.2
30122,11.119,6,0.05,0.195164838630192,1.3244e-05,1.2
30945,11.027,6,0,0.143000529515983,0.00031003,1.2
14815,11.119,5.9091,0,0.112411544766102,0.00030776,1.2
8857,15.167,6,0,0.407928649781504,0.00020061,1.2
30922,15.259,6,0,0.228163482081172,0.0001983,1.2
30166,15.167,6,0.05,0.224704318287017,1.2586e-05,1.2
16949,15.167,5.9091,0,0.139203549850307,0.00020107,1.2
30912,17.1,6,0,1,0.00015308,1.2
8846,17.192,6,0,0,0.00015087,1.2
8847,17.008,6,0,0,0.00015529,1.2
30185,17.1,6,0.1,0,0.00015308,1.2
8824,21.24,6,0,0.357564505494234,5.8046e-05,1.2
30890,21.148,6,0,0.275049619610945,6.0069e-05,1.2
30232,21.24,6,0.05,0.223368775763492,8.6848e-06,1.2
20150,21.24,5.9091,0,0.144017099131329,5.8864e-05,1.2
30978,5.0683,6,0,0.448930573550512,0.0004804,1.3
8912,5.1607,6,0,0.234449739399522,0.00047849,1.3
30056,5.1607,6,0.05,0.180961630051385,7.2435e-06,1.3
30053,5.0683,6,0.1,0.13565805699858,0.0004804,1.3
30967,7.1,6,0,1,0.00042416,1.3
8902,7.0077,6,0,0,0.00042694,1.3
8901,7.1923,6,0,0,0.00042139,1.3
30075,7.1,6,0.1,0,0.00042416,1.3
8890,9.224,6,0,0.490340163767926,0.00036117,1.3
30100,9.224,6,0.05,0.212185422546993,1.2738e-05,1.3
30956,9.1317,6,0,0.172301082436762,0.00036385,1.3
9918,9.224,5.9091,0,0.12517333124832,0.00036129,1.3
8880,11.071,6,0,0.441311226410005,0.00030882,1.3
30120,11.071,6,0.05,0.221413825509298,1.3231e-05,1.3
30945,11.163,6,0,0.203143262950635,0.00030627,1.3
9958,11.071,5.9091,0,0.134131685130062,0.00030909,1.3
30923,15.227,6,0,0.501042189574886,0.00019912,1.3
8858,15.134,6,0,0.204971804826101,0.00020144,1.3
30164,15.134,6,0.05,0.16338141621984,1.2596e-05,1.3
30163,15.227,6,0.1,0.130604589379173,0.00019912,1.3
30913,17.074,6,0,0.510313631529032,0.0001537,1.3
8847,17.166,6,0,0.20103264272356,0.00015148,1.3
30186,17.166,6,0.05,0.160241541037599,1.1837e-05,1.3
30183,17.074,6,0.1,0.128412184709809,0.0001537,1.3
8825,21.23,6,0,0.434010457211489,5.8273e-05,1.3
30230,21.23,6,0.05,0.223296538046477,8.7001e-06,1.3
30891,21.137,6,0,0.206671646291197,6.0304e-05,1.3
10178,21.23,5.9091,0,0.136021358450837,5.909e-05,1.3
8913,5.0604,6,0,0.360045911910014,0.00047939,1.4
30978,5.1523,6,0,0.27261602507909,0.00047751,1.4
30054,5.0604,6,0.05,0.223539387908968,7.214e-06,1.4
9826,5.0604,5.9091,0,0.143798675101929,0.00047936,1.4
8902,7.0831,6,0,0.578595371073103,0.00042462,1.4
30076,7.0831,6,0.05,0.185268464897793,1.0589e-05,1.4
30967,7.175,6,0,0.130376823615137,0.00042187,1.4
9870,7.0831,5.9091,0,0.105759340413968,0.00042446,1.4
30956,9.1977,6,0,0.931919718017881,0.00036195,1.4
8890,9.2896,6,0,0.0239220463330477,0.00035928,1.4
8891,9.1057,6,0,0.0227297492199483,0.00036462,1.4
30097,9.1977,6,0.1,0.0214284864291234,0.00036195,1.4
8880,11.128,6,0,0.450352119174581,0.00030724,1.4
30120,11.128,6,0.05,0.220043562634298,1.3217e-05,1.4
30946,11.036,6,0,0.197029052138882,0.00030979,1.4
9958,11.128,5.9091,0,0.13257526605224,0.00030751,1.4
8858,15.174,6,0,0.469419075223647,0.00020045,1.4
30164,15.174,6,0.05,0.21656777498638,1.2579e-05,1.4
30923,15.266,6,0,0.184922665997191,0.00019814,1.4
10046,15.174,5.9091,0,0.129090483792782,0.00020091,1.4
30913,17.105,6,0,0.862446498018238,0.00015296,1.4
8848,17.013,6,0,0.0495658906906936,0.00015517,1.4
8847,17.196,6,0,0.0449190884384409,0.00015075,1.4
30183,17.105,6,0.1,0.0430685228526275,0.00015296,1.4
8825,21.242,6,0,0.344515122161422,5.8002e-05,1.4
30891,21.15,6,0,0.289392702615601,6.0024e-05,1.4
30230,21.242,6,0.05,0.221589400227379,8.6815e-06,1.4
10178,21.242,5.9091,0,0.144502774995598,5.8821e-05,1.4
30979,5.0813,6,0,0.606775581016133,0.00047755,1.5
8913,5.1736,6,0,0.154167165285347,0.00047594,1.5
30054,5.1736,6,0.05,0.127523574038522,7.4311e-06,1.5
30051,5.0813,6,0.1,0.111533679659998,0.00047755,1.5
30968,7.1116,6,0,0.724029299498733,0.00042372,1.5
8903,7.0193,6,0,0.104073604388919,0.00042647,1.5
30074,7.0193,6,0.05,0.0884691251327741,1.0425e-05,1.5
30073,7.1116,6,0.1,0.0834279709795747,0.00042372,1.5
8891,9.2342,6,0,0.399146687687958,0.0003609,1.5
30957,9.1419,6,0,0.234953816160557,0.00036358,1.5
30098,9.2342,6,0.05,0.225344470154164,1.2671e-05,1.5
10011,9.2342,5.9091,0,0.140555025997321,0.00036101,1.5
8881,11.08,6,0,0.536466085558841,0.00030859,1.5
30118,11.08,6,0.05,0.199238502356733,1.3197e-05,1.5
30946,11.172,6,0,0.149018357099673,0.00030604,1.5
10051,11.08,5.9091,0,0.115277054984753,0.00030886,1.5
30924,15.233,6,0,0.43746461715423,0.00019897,1.5
8859,15.14,6,0,0.240605539434841,0.00020129,1.5
30162,15.14,6,0.05,0.184838295382848,1.2588e-05,1.5
30161,15.233,6,0.1,0.137091548028082,0.00019897,1.5
30914,17.079,6,0,0.573684330250973,0.00015359,1.5
8848,17.171,6,0,0.169681280778468,0.00015137,1.5
30184,17.171,6,0.05,0.138732372063921,1.1832e-05,1.5
30181,17.079,6,0.1,0.117902016906638,0.00015359,1.5
8826,21.231,6,0,0.424103261226493,5.8231e-05,1.5
30228,21.231,6,0.05,0.223476832033857,8.6968e-06,1.5
30892,21.139,6,0,0.215527886852824,6.0261e-05,1.5
10271,21.231,5.9091,0,0.136892019886826,5.9049e-05,1.5
8914,5.0741,6,0,0.470278208633973,0.00047622,1.6
30052,5.0741,6,0.05,0.216306469894261,7.4388e-06,1.6
30979,5.166,6,0,0.184548569751815,0.00047464,1.6
9919,5.0741,5.9091,0,0.128866751719951,0.00047633,1.6
8903,7.0953,6,0,0.833943003732545,0.00042414,1.6
30074,7.0953,6,0.05,0.0780465908507544,1.046e-05,1.6
30968,7.1872,6,0,0.0449487628158567,0.00042141,1.6
9963,7.0953,5.9091,0,0.0430616426008439,0.00042398,1.6
30957,9.2084,6,0,0.786995134893812,0.00036167,1.6
