Node Number	X Location (in)	Y Location (in)	Z Location (in)	Maximum Principal Stress (psi)
521	14.846	4.1368	0.	6.4477
522	14.851	4.7342	5.e-002	2.6755
523	14.858	5.3671	0.	7.3729
524	13.128	4.7731	0.	3.0902
525	13.699	4.1638	0.	4.3819
526	13.709	4.7682	5.e-002	2.9617
527	13.716	5.3841	0.	5.9398
528	11.961	4.7812	0.	-3.09e-002
529	12.546	4.1712	0.	0.76276
530	12.547	4.778	5.e-002	3.3195
531	12.564	5.389	0.	4.0777
532	10.776	4.7824	0.	-2.1928
533	11.357	4.1836	0.	-0.299
534	11.374	4.7844	5.e-002	3.6348
535	11.406	5.3922	0.	1.4219
536	9.5661	4.7812	0.	2.229
537	10.152	4.1803	0.	-4.463
538	10.178	4.7803	5.e-002	3.2082
539	10.237	5.3902	0.	-2.3297
540	8.2672	4.7633	0.	-3.5071
541	8.9234	4.1839	0.	8.7778
542	8.954	4.7821	5.e-002	3.5695
543	9.0543	5.391	0.	4.1019
544	7.0814	5.0018	0.	-6.7562
545	7.6243	4.1685	0.	-21.462
546	6.8881	4.4692	0.	-26.878
547	7.5804	4.7445	5.e-002	8.8226
548	7.7965	5.3722	0.	-4.5393
549	6.5825	5.2591	5.e-002	14.903
550	6.7266	5.6295	0.	13.787
551	7.5857	3.0336	0.	-24.082
552	8.2805	3.5892	0.	-10.499
553	7.6683	3.5926	5.e-002	10.841
554	8.1671	2.4387	0.	-2.4909
555	6.8255	2.6809	0.	-53.234
556	7.5032	2.4747	5.e-002	13.186
557	9.4774	2.3952	0.	4.008
558	8.8619	2.9942	0.	9.671
559	8.8309	2.4027	5.e-002	6.5874
560	10.734	2.3902	0.	-1.2664
561	10.125	2.984	0.	-3.5813
562	10.124	2.3877	5.e-002	4.7541
563	11.936	2.3859	0.	-0.72708
564	11.342	2.9877	0.	-0.26556
565	11.345	2.3926	5.e-002	3.9283
566	13.114	2.3724	0.	2.5558
567	12.536	2.9718	0.	0.10788
568	12.527	2.3792	5.e-002	3.2115
569	14.277	2.3641	0.	6.0853
570	13.696	2.9625	0.	4.5304
571	13.701	2.3657	5.e-002	2.9016
572	15.423	2.363	0.	8.1104
573	14.847	2.951	0.	7.0165
574	14.854	2.3625	5.e-002	2.6488
575	16.563	2.3647	0.	9.2555
576	15.991	2.9488	0.	8.549
577	15.993	2.3635	5.e-002	2.3683
578	17.703	2.3677	0.	9.9357
579	17.13	2.9543	0.	9.427
580	17.133	2.366	5.e-002	2.0081
581	18.843	2.3717	0.	10.292
582	18.269	2.9615	0.	9.9221
583	18.273	2.3694	5.e-002	1.6963
584	19.983	2.3817	0.	10.474
585	19.412	2.9756	0.	10.17
586	19.413	2.3739	5.e-002	1.3471
587	21.123	2.395	0.	10.608
588	20.549	2.9895	0.	10.363
589	20.553	2.3895	5.e-002	1.0114
590	21.692	2.9994	0.	10.505
591	21.693	2.4005	5.e-002	0.70667
592	21.118	3.5939	0.	10.579
593	21.691	3.5983	5.e-002	0.70776
594	19.978	3.5834	0.	10.444
595	20.546	3.5896	5.e-002	1.0162
596	18.838	3.5654	0.	10.214
597	19.411	3.5773	5.e-002	1.3162
598	17.697	3.5481	0.	9.8325
599	18.266	3.5536	5.e-002	1.67
600	16.558	3.5383	0.	9.1284
601	17.127	3.5426	5.e-002	2.0842
602	15.415	3.5367	0.	7.8503
603	15.989	3.534	5.e-002	2.4452
604	14.265	3.5494	0.	5.8285
605	14.841	3.5395	5.e-002	2.6353
606	13.117	3.5619	0.	2.4075
607	13.69	3.5594	5.e-002	2.9906
608	11.943	3.5736	0.	-0.49776
609	12.545	3.5644	5.e-002	3.3868
610	10.733	3.5815	0.	-2.5812
611	11.34	3.5828	5.e-002	3.7963
612	9.5092	3.5831	0.	2.0838
613	8.8928	3.5858	5.e-002	3.4818
614	10.126	3.5803	5.e-002	4.4062
615	6.1958	4.1939	5.e-002	16.405
616	5.3912	4.0969	0.	-364.98
617	3.6026	1.1123	5.e-002	12.698
618	4.0113	1.0561	0.	150.31
619	3.3837	3.3161	0.	20.218
620	3.7597	2.8481	0.	22.513
621	3.4988	2.6367	5.e-002	41.34
622	3.9594	2.3184	0.	-257.74
623	3.2686	3.9955	5.e-002	41.346
624	3.8443	4.4977	0.	-38.494
625	5.3035	0.94394	5.e-002	12.445
626	4.9451	0.97197	0.	175.97
627	5.4811	2.0837	0.	-43.107
628	5.9098	2.367	0.	-100.72
629	5.6719	1.8468	5.e-002	54.268
630	5.1293	1.9234	0.	-112.61
631	4.9408	3.2263	0.	225.72
632	4.8253	3.4282	5.e-002	177.84
633	4.6227	3.7141	0.	-73.195
634	5.0989	2.3142	0.	192.47
635	4.9075	2.3079	5.e-002	143.5
636	4.7471	2.1539	0.	186.13
637	5.0486	2.5781	0.	21.119
638	5.2903	2.3206	5.e-002	14.097
639	4.0206	3.0596	5.e-002	44.824
640	6.1478	2.8872	5.e-002	18.703
641	4.9316	2.93	0.	63.687
642	5.0563	3.0245	5.e-002	23.141
643	4.8068	2.8356	5.e-002	29.067
644	4.9316	2.93	0.1	1713.3
645	5.0486	2.5781	0.1	1830.5
646	4.6479	3.0394	0.1	2115.2
647	4.6418	2.7183	0.1	2100.9
648	4.9408	3.2263	0.1	1593.7
649	5.3149	2.9506	0.1	1360.3
650	5.9098	2.367	0.1	1173.9
651	6.8255	2.6809	0.1	976.41
652	5.8606	2.882	0.1	1229.7
653	6.3184	3.234	0.1	1095.7
654	3.7597	2.8481	0.1	1753.7
655	3.9662	3.4098	0.1	1902.6
656	4.2548	3.1514	0.1	2138.5
657	4.2487	2.8303	0.1	2125.1
658	5.0989	2.3142	0.1	1551.9
659	5.4811	2.0837	0.1	1433.6
660	5.4319	2.5987	0.1	1507.5
661	4.6921	2.4545	0.1	1801.1
662	4.7471	2.1539	0.1	2554.3
663	4.6571	3.3357	0.1	1988.2
664	5.0561	3.4047	0.1	1422.8
665	4.6227	3.7141	0.1	4007.
666	6.5179	1.6045	0.1	977.33
667	5.6719	1.5886	0.1	975.26
668	5.1293	1.9234	0.1	2405.4
669	5.447	0.73035	0.1	515.54
670	5.4877	1.1372	0.1	623.9
671	4.9451	0.97197	0.1	600.16
672	3.3837	3.3161	0.1	1318.4
673	2.755	3.865	0.1	1330.5
674	3.5902	3.8777	0.1	1504.9
675	3.2547	4.5283	0.1	1113.1
676	3.8443	4.4977	0.1	1319.9
677	2.8786	2.6099	0.1	1489.1
678	3.4146	2.1807	0.1	1296.5
679	3.9594	2.3184	0.1	3113.
680	3.4665	1.4185	0.1	928.23
681	3.4524	0.88509	0.1	872.31
682	4.0113	1.0561	0.1	1025.9
683	6.8881	4.4692	0.1	924.
684	5.9585	4.4425	0.1	1013.8
685	6.3425	3.8873	0.1	1054.5
686	5.3912	4.0969	0.1	2065.7
687	9.5092	3.5831	0.1	620.3
688	10.733	3.5815	0.1	520.24
689	10.125	2.984	0.1	568.77
690	10.152	4.1803	0.1	566.58
691	8.8619	2.9942	0.1	674.8
692	8.2805	3.5892	0.1	723.98
693	8.9234	4.1839	0.1	667.62
694	11.943	3.5736	0.1	429.14
695	11.342	2.9877	0.1	470.33
696	11.357	4.1836	0.1	470.96
697	13.117	3.5619	0.1	350.55
698	12.536	2.9718	0.1	387.03
699	12.546	4.1712	0.1	387.73
700	14.265	3.5494	0.1	281.44
701	13.696	2.9625	0.1	313.4
702	13.699	4.1638	0.1	313.85
703	15.415	3.5367	0.1	220.09
704	14.847	2.951	0.1	248.23
705	14.846	4.1368	0.1	248.69
706	16.558	3.5383	0.1	166.62
707	15.991	2.9488	0.1	191.01
708	15.989	4.1182	0.1	191.36
709	17.697	3.5481	0.1	120.97
710	17.13	2.9543	0.1	141.55
711	17.127	4.1302	0.1	141.87
