Node Number	X Location (in)	Y Location (in)	Z Location (in)	Minimum Principal Elastic Strain (in/in)
434	6.808	0.54545	0.	-4.1276e-004
435	6.808	0.36364	0.	-4.099e-004
436	6.808	0.18182	0.	-4.0739e-004
437	6.624	5.8182	0.	-4.1866e-004
438	6.624	5.6364	0.	-4.2046e-004
439	6.624	5.4545	0.	-4.2252e-004
440	6.624	5.2727	0.	-4.2479e-004
441	6.624	5.0909	0.	-4.2718e-004
442	6.624	4.9091	0.	-4.2964e-004
443	6.624	4.7273	0.	-4.3209e-004
444	6.624	4.5455	0.	-4.3447e-004
445	6.624	4.3636	0.	-4.3671e-004
446	6.624	4.1818	0.	-4.3877e-004
447	6.624	4.	0.	-4.406e-004
448	6.624	3.8182	0.	-4.4218e-004
449	6.624	3.6364	0.	-4.4348e-004
450	6.624	3.4545	0.	-4.4448e-004
451	6.624	3.2727	0.	-4.4515e-004
452	6.624	3.0909	0.	-4.455e-004
453	6.624	2.9091	0.	-4.455e-004
454	6.624	2.7273	0.	-4.4515e-004
455	6.624	2.5455	0.	-4.4448e-004
456	6.624	2.3636	0.	-4.4348e-004
457	6.624	2.1818	0.	-4.4218e-004
458	6.624	2.	0.	-4.406e-004
459	6.624	1.8182	0.	-4.3877e-004
460	6.624	1.6364	0.	-4.3671e-004
461	6.624	1.4545	0.	-4.3447e-004
462	6.624	1.2727	0.	-4.3209e-004
463	6.624	1.0909	0.	-4.2964e-004
464	6.624	0.90909	0.	-4.2718e-004
465	6.624	0.72727	0.	-4.2479e-004
466	6.624	0.54545	0.	-4.2252e-004
467	6.624	0.36364	0.	-4.2046e-004
468	6.624	0.18182	0.	-4.1866e-004
469	6.44	5.8182	0.	-4.2885e-004
470	6.44	5.6364	0.	-4.3003e-004
471	6.44	5.4545	0.	-4.314e-004
472	6.44	5.2727	0.	-4.3291e-004
473	6.44	5.0909	0.	-4.3449e-004
474	6.44	4.9091	0.	-4.3611e-004
475	6.44	4.7273	0.	-4.377e-004
476	6.44	4.5455	0.	-4.3923e-004
477	6.44	4.3636	0.	-4.4065e-004
478	6.44	4.1818	0.	-4.4194e-004
479	6.44	4.	0.	-4.4308e-004
480	6.44	3.8182	0.	-4.4405e-004
481	6.44	3.6364	0.	-4.4484e-004
482	6.44	3.4545	0.	-4.4544e-004
483	6.44	3.2727	0.	-4.4584e-004
484	6.44	3.0909	0.	-4.4605e-004
485	6.44	2.9091	0.	-4.4605e-004
486	6.44	2.7273	0.	-4.4584e-004
487	6.44	2.5455	0.	-4.4544e-004
488	6.44	2.3636	0.	-4.4484e-004
489	6.44	2.1818	0.	-4.4405e-004
490	6.44	2.	0.	-4.4308e-004
491	6.44	1.8182	0.	-4.4194e-004
492	6.44	1.6364	0.	-4.4065e-004
493	6.44	1.4545	0.	-4.3923e-004
494	6.44	1.2727	0.	-4.377e-004
495	6.44	1.0909	0.	-4.3611e-004
496	6.44	0.90909	0.	-4.3449e-004
497	6.44	0.72727	0.	-4.3291e-004
