Node Number	X Location (in)	Y Location (in)	Z Location (in)	Middle Principal Elastic Strain (in/in)
557	10.074	2.5218	0.	1.8071e-005
558	9.5113	3.1148	0.	1.9244e-005
559	9.4955	2.544	5.e-002	2.5526e-014
560	11.211	2.4842	0.	1.584e-005
561	10.651	3.0684	0.	1.7082e-005
562	10.652	2.4997	5.e-002	-1.3752e-022
563	12.332	2.467	0.	1.2978e-005
564	11.763	3.0548	0.	1.4308e-005
565	11.771	2.4687	5.e-002	-3.5517e-016
566	13.461	2.4722	0.	1.051e-005
567	12.894	3.054	0.	1.1701e-005
568	12.893	2.4652	5.e-002	2.4082e-018
569	14.59	2.4647	0.	8.3016e-006
570	14.025	3.0622	0.	9.3544e-006
571	14.029	2.4792	5.e-002	1.1397e-013
572	15.702	2.4403	0.	6.3634e-006
573	15.142	3.0482	0.	7.2864e-006
574	15.152	2.4501	5.e-002	1.3499e-015
575	16.803	2.4279	0.	4.7064e-006
576	16.25	3.0276	0.	5.4792e-006
577	16.252	2.4304	5.e-002	1.1409e-013
578	17.896	2.4301	0.	3.2937e-006
579	17.352	3.0292	0.	3.9471e-006
580	17.353	2.4255	5.e-002	6.0752e-016
581	18.985	2.4395	0.	2.1142e-006
582	18.437	3.0366	0.	2.6402e-006
583	18.438	2.4347	5.e-002	1.1413e-013
584	20.082	2.431	0.	1.1667e-006
585	19.535	3.0413	0.	1.5861e-006
586	19.531	2.4444	5.e-002	1.1444e-013
587	21.191	2.4152	0.	4.4168e-007
588	20.637	3.0197	0.	7.4172e-007
589	20.633	2.4177	5.e-002	1.1612e-013
590	21.752	3.0097	0.	1.3645e-007
591	21.748	2.4128	5.e-002	1.5939e-013
592	21.198	3.6141	0.	4.355e-007
593	21.756	3.6065	5.e-002	1.7276e-013
594	20.09	3.63	0.	1.1602e-006
595	20.64	3.6217	5.e-002	1.7111e-013
596	18.988	3.6384	0.	2.1113e-006
597	19.54	3.6383	5.e-002	1.1325e-013
598	17.894	3.6357	0.	3.2925e-006
599	18.436	3.6385	5.e-002	1.1477e-013
600	16.8	3.6289	0.	4.7187e-006
601	17.351	3.6329	5.e-002	1.1439e-013
602	15.691	3.6356	0.	6.4011e-006
