Node Number	X Location (m)	Y Location (m)	Z Location (m)	Maximum Principal Stress (Pa)
208	0.10262	0.1143	2.54e-003	1.0497e+007
209	0.10262	0.127	2.54e-003	7.6707e+006
210	0.10262	0.1397	2.54e-003	5.3268e+006
211	0.10685	1.27e-002	2.54e-003	3.2872e+006
212	0.10685	2.54e-002	2.54e-003	7.2498e+006
213	0.10685	3.81e-002	2.54e-003	1.0071e+007
214	0.10685	5.08e-002	2.54e-003	2.5893e+007
215	0.10262	5.08e-002	2.54e-003	3.0119e+007
216	0.10262	3.81e-002	2.54e-003	1.2632e+007
217	0.10262	2.54e-002	2.54e-003	1.1982e+007
218	0.10262	1.27e-002	2.54e-003	6.6426e+006
219	0.10685	0.1524	2.54e-003	2.8031e+006
220	0.13478	0.1524	2.54e-003	4.081e+006
221	0.16271	0.1524	2.54e-003	5.2645e+006
222	0.19064	0.1524	2.54e-003	5.3652e+006
223	0.21857	0.1524	2.54e-003	4.8808e+006
224	0.2465	0.1524	2.54e-003	4.2424e+006
225	0.27443	0.1524	2.54e-003	3.5672e+006
226	0.30236	0.1524	2.54e-003	2.9894e+006
227	0.33029	0.1524	2.54e-003	2.4698e+006
228	0.35822	0.1524	2.54e-003	2.0064e+006
229	0.38616	0.1524	2.54e-003	1.58e+006
230	0.41409	0.1524	2.54e-003	1.2137e+006
231	0.44202	0.1524	2.54e-003	8.957e+005
232	0.46995	0.1524	2.54e-003	6.2608e+005
233	0.49788	0.1524	2.54e-003	4.0455e+005
234	0.52581	0.1524	2.54e-003	2.3137e+005
235	0.55374	0.1524	2.54e-003	1.0568e+005
236	0.58167	0.1524	2.54e-003	26128
237	0.6096	0.1524	2.54e-003	-2393.
238	0.6096	0.12192	2.54e-003	14882
239	0.6096	9.144e-002	2.54e-003	20857
240	0.6096	6.096e-002	2.54e-003	20762
241	0.6096	3.048e-002	2.54e-003	14518
242	2.6645e-016	3.048e-002	2.54e-003	1.3505e+007
243	5.3291e-016	6.096e-002	2.54e-003	1.435e+007
244	7.9936e-016	9.144e-002	2.54e-003	1.438e+007
245	1.0658e-015	0.12192	2.54e-003	1.3776e+007
246	0.6096	0.	2.54e-003	-2372.
247	0.58167	0.	2.54e-003	26431
248	0.55374	0.	2.54e-003	1.0557e+005
249	0.52581	0.	2.54e-003	2.3163e+005
250	0.49788	0.	2.54e-003	4.057e+005
