Node Number	X Location (m)	Y Location (m)	Z Location (m)	Minimum Principal Stress (Pa)
367	0.14361	0.12517	0.	-5.5697e+006
368	0.12847	0.12318	0.	-4.1844e+006
369	0.13255	0.11811	1.27e-003	-5.1073e+005
370	0.1197	0.11621	0.	-6.0387e+006
371	6.3496e-002	2.1159e-002	0.	-7.7591e+006
372	7.802e-002	2.3792e-002	0.	-6.3685e+006
373	7.5725e-002	1.7591e-002	1.27e-003	-2.17e+005
374	7.6343e-002	8.7957e-003	0.	-5.9817e+006
375	8.917e-002	1.5146e-002	0.	-6.2595e+006
376	4.6761e-002	5.3747e-002	0.	-9.3198e+006
377	5.7355e-002	3.7371e-002	0.	-9.0709e+006
378	7.1879e-002	4.0004e-002	0.	-7.6706e+006
379	6.5499e-002	5.9261e-002	0.	-9.6911e+006
380	6.3442e-002	5.0016e-002	1.27e-003	-2.6981e+005
381	8.3029e-002	4.4058e-002	0.	-1.0572e+007
382	0.1434	2.0576e-002	0.	-4.9675e+006
383	0.12762	2.0313e-002	0.	-4.2285e+006
384	0.13022	1.4819e-002	1.27e-003	-2.9989e+005
385	0.1325	7.4097e-003	0.	-4.3322e+006
386	0.11853	1.376e-002	0.	-3.8695e+006
387	7.8573e-002	0.12494	0.	-7.3312e+006
388	6.4353e-002	0.1303	0.	-7.8492e+006
389	7.6432e-002	0.13373	1.27e-003	-1.8648e+005
390	7.6697e-002	0.14307	0.	-6.2995e+006
391	8.9524e-002	0.13672	0.	-5.8843e+006
392	8.4904e-002	0.11058	0.	-9.6283e+006
393	7.0497e-002	0.1099	0.	-9.0362e+006
394	8.0713e-002	0.11615	1.27e-003	-1.9957e+005
395	9.1664e-002	0.12158	0.	-7.5595e+006
396	8.2578e-002	9.5292e-002	0.	-1.093e+007
397	8.9095e-002	0.10501	1.27e-003	-5.9969e+005
398	9.5856e-002	0.10965	0.	-1.0187e+007
399	0.14196	0.13569	0.	-4.6912e+006
400	0.12682	0.1337	0.	-3.4988e+006
401	0.12925	0.13915	1.27e-003	-2.4796e+005
402	0.13202	0.14577	0.	-4.1242e+006
403	0.11805	0.13942	0.	-3.2458e+006
404	0.16195	0.11041	0.	-6.3649e+006
405	0.13998	9.3882e-002	0.	-8.721e+006
406	0.15419	9.1271e-002	0.	-6.7222e+006
407	0.14711	0.10193	1.27e-003	-2.2962e+005
408	0.12698	0.10176	0.	-1.6081e+007
409	4.0831e-002	0.12397	0.	-9.05e+006
410	5.6277e-002	0.11526	0.	-9.6893e+006
411	5.2274e-002	0.12687	1.27e-003	-1.0114e+005
412	5.1791e-002	0.13963	0.	-9.1506e+006
413	0.15982	4.0378e-002	0.	-5.8336e+006
414	0.1759	5.5914e-002	0.	-5.9152e+006
415	0.16217	6.7518e-002	0.	-6.4238e+006
416	0.16306	5.4422e-002	1.27e-003	-1.0046e+005
417	7.1808e-002	7.704e-002	0.	-1.068e+007
418	8.4962e-002	8.6503e-002	0.	-1.2977e+007
419	6.8171e-002	9.461e-002	0.	-1.0603e+007
420	7.6061e-002	8.5574e-002	1.27e-003	-2.903e+005
421	3.2489e-002	7.2798e-002	0.	-9.5655e+006
422	2.8444e-002	4.337e-002	0.	-9.3725e+006
423	3.008e-002	5.7479e-002	1.27e-003	-1.6255e+005
424	1.504e-002	5.922e-002	0.	-1.2044e+007
425	3.2143e-002	0.10459	0.	-9.1807e+006
426	5.1227e-002	7.8312e-002	0.	-9.942e+006
427	4.7589e-002	9.5882e-002	0.	-9.823e+006
428	3.4898e-002	8.8118e-002	1.27e-003	-1.3412e+005
429	1.7449e-002	8.9779e-002	0.	-1.1891e+007
430	2.9388e-002	0.12107	1.27e-003	-1.5105e+005
431	2.7521e-002	0.13673	0.	-8.8703e+006
432	1.4694e-002	0.12149	0.	-1.1348e+007
433	3.9038e-002	2.6994e-002	0.	-9.1165e+006
434	5.1267e-002	2.4727e-002	1.27e-003	-1.1897e+005
435	5.1288e-002	1.2363e-002	0.	-9.2626e+006
436	0.17268	2.753e-002	0.	-5.3961e+006
437	0.14462	3.1866e-002	0.	-5.9675e+006
438	0.15658	2.6333e-002	1.27e-003	-84535
439	0.15965	1.3167e-002	0.	-5.2487e+006
440	0.20311	2.9478e-002	0.	-5.0872e+006
441	0.18876	4.3066e-002	0.	-5.4733e+006
442	0.18878	2.8726e-002	1.27e-003	-33437
443	0.18971	1.4363e-002	0.	-5.3331e+006
444	0.23165	3.0517e-002	0.	-4.4749e+006
445	0.21695	4.529e-002	0.	-4.806e+006
446	0.21743	3.023e-002	1.27e-003	-25006
447	0.218	1.5115e-002	0.	-4.8142e+006
448	0.26	3.0777e-002	0.	-3.8455e+006
449	0.2455	4.6072e-002	0.	-4.1474e+006
450	0.24586	3.0805e-002	1.27e-003	-29447
451	0.24618	1.5403e-002	0.	-4.1607e+006
452	0.288	3.0286e-002	0.	-3.2645e+006
453	0.27418	4.6322e-002	0.	-3.534e+006
454	0.27413	3.0749e-002	1.27e-003	-24546
455	0.27428	1.5375e-002	0.	-3.552e+006
456	0.31588	2.9884e-002	0.	-2.7289e+006
457	0.30209	4.608e-002	0.	-2.9738e+006
458	0.30186	2.9822e-002	1.27e-003	-22447
459	0.30211	1.4911e-002	0.	-2.9866e+006
460	0.34372	3.0365e-002	0.	-2.242e+006
461	0.3297	4.5777e-002	0.	-2.4694e+006
462	0.32989	2.9947e-002	1.27e-003	-21420
463	0.33009	1.4974e-002	0.	-2.4706e+006
464	0.37151	3.0584e-002	0.	-1.8046e+006
465	0.35734	4.611e-002	0.	-2.0101e+006
466	0.35754	3.0783e-002	1.27e-003	-20243
467	0.35788	1.5392e-002	0.	-2.0034e+006
468	0.39954	3.0197e-002	0.	-1.4132e+006
469	0.38531	4.5656e-002	0.	-1.5972e+006
470	0.38547	3.0384e-002	1.27e-003	-17818
471	0.38581	1.5192e-002	0.	-1.5886e+006
472	0.42756	3.0016e-002	0.	-1.0696e+006
473	0.41333	4.5219e-002	0.	-1.2296e+006
474	0.41361	3.0009e-002	1.27e-003	-15474
475	0.41385	1.5005e-002	0.	-1.2211e+006
476	0.45547	3.0012e-002	0.	-7.7542e+005
477	0.44124	4.5264e-002	0.	-9.1091e+005
478	0.44151	3.0023e-002	1.27e-003	-13391
479	0.44177	1.5012e-002	0.	-9.0158e+005
