Node Number	X Location (in)	Y Location (in)	Z Location (in)	Middle Principal Elastic Strain (in/in)
424	15.81	2.3636	0.	6.0476e-005
425	15.81	2.1818	0.	5.995e-005
426	15.81	2.	0.	5.935e-005
427	15.81	1.8182	0.	5.8711e-005
428	15.81	1.6364	0.	5.8067e-005
429	15.81	1.4545	0.	5.7453e-005
430	15.81	1.2727	0.	5.6903e-005
431	15.81	1.0909	0.	5.6445e-005
432	15.81	0.90909	0.	5.6103e-005
433	15.81	0.72727	0.	5.5897e-005
434	15.81	0.54545	0.	5.5842e-005
435	15.81	0.36364	0.	5.5941e-005
436	15.81	0.18182	0.	5.6215e-005
437	15.626	5.8182	0.	5.8483e-005
438	15.626	5.6364	0.	5.8227e-005
439	15.626	5.4545	0.	5.8117e-005
440	15.626	5.2727	0.	5.8135e-005
441	15.626	5.0909	0.	5.8278e-005
442	15.626	4.9091	0.	5.8533e-005
443	15.626	4.7273	0.	5.8884e-005
444	15.626	4.5455	0.	5.9311e-005
445	15.626	4.3636	0.	5.9788e-005
446	15.626	4.1818	0.	6.0291e-005
447	15.626	4.	0.	6.0791e-005
448	15.626	3.8182	0.	6.126e-005
449	15.626	3.6364	0.	6.1671e-005
450	15.626	3.4545	0.	6.2002e-005
451	15.626	3.2727	0.	6.2234e-005
452	15.626	3.0909	0.	6.2353e-005
453	15.626	2.9091	0.	6.2353e-005
454	15.626	2.7273	0.	6.2234e-005
455	15.626	2.5455	0.	6.2002e-005
456	15.626	2.3636	0.	6.1671e-005
457	15.626	2.1818	0.	6.126e-005
458	15.626	2.	0.	6.0791e-005
459	15.626	1.8182	0.	6.0291e-005
460	15.626	1.6364	0.	5.9788e-005
461	15.626	1.4545	0.	5.9311e-005
462	15.626	1.2727	0.	5.8884e-005
463	15.626	1.0909	0.	5.8533e-005
464	15.626	0.90909	0.	5.8278e-005
465	15.626	0.72727	0.	5.8135e-005
466	15.626	0.54545	0.	5.8117e-005
467	15.626	0.36364	0.	5.8227e-005
468	15.626	0.18182	0.	5.8483e-005
469	15.442	5.8182	0.	6.0616e-005
470	15.442	5.6364	0.	6.0378e-005
471	15.442	5.4545	0.	6.0262e-005
472	15.442	5.2727	0.	6.0252e-005
473	15.442	5.0909	0.	6.0346e-005
474	15.442	4.9091	0.	6.0532e-005
475	15.442	4.7273	0.	6.0797e-005
476	15.442	4.5455	0.	6.1123e-005
477	15.442	4.3636	0.	6.1492e-005
478	15.442	4.1818	0.	6.1883e-005
479	15.442	4.	0.	6.2272e-005
480	15.442	3.8182	0.	6.2637e-005
481	15.442	3.6364	0.	6.2958e-005
482	15.442	3.4545	0.	6.3217e-005
483	15.442	3.2727	0.	6.3398e-005
484	15.442	3.0909	0.	6.3491e-005
485	15.442	2.9091	0.	6.3491e-005
486	15.442	2.7273	0.	6.3398e-005
487	15.442	2.5455	0.	6.3217e-005
488	15.442	2.3636	0.	6.2958e-005
489	15.442	2.1818	0.	6.2637e-005
490	15.442	2.	0.	6.2272e-005
491	15.442	1.8182	0.	6.1883e-005
492	15.442	1.6364	0.	6.1492e-005
493	15.442	1.4545	0.	6.1123e-005
494	15.442	1.2727	0.	6.0797e-005
495	15.442	1.0909	0.	6.0532e-005
496	15.442	0.90909	0.	6.0346e-005
497	15.442	0.72727	0.	6.0252e-005
498	15.442	0.54545	0.	6.0262e-005
499	15.442	0.36364	0.	6.0378e-005
500	15.442	0.18182	0.	6.0616e-005
501	15.259	5.8182	0.	6.2639e-005
502	15.259	5.6364	0.	6.242e-005
503	15.259	5.4545	0.	6.2302e-005
504	15.259	5.2727	0.	6.2271e-005
505	15.259	5.0909	0.	6.2326e-005
506	15.259	4.9091	0.	6.2457e-005
507	15.259	4.7273	0.	6.2653e-005
508	15.259	4.5455	0.	6.2901e-005
509	15.259	4.3636	0.	6.3184e-005
510	15.259	4.1818	0.	6.3484e-005
511	15.259	4.	0.	6.3786e-005
512	15.259	3.8182	0.	6.4069e-005
513	15.259	3.6364	0.	6.4319e-005
514	15.259	3.4545	0.	6.452e-005
515	15.259	3.2727	0.	6.4661e-005
516	15.259	3.0909	0.	6.4733e-005
517	15.259	2.9091	0.	6.4733e-005
518	15.259	2.7273	0.	6.4661e-005
519	15.259	2.5455	0.	6.452e-005
520	15.259	2.3636	0.	6.4319e-005
521	15.259	2.1818	0.	6.4069e-005
522	15.259	2.	0.	6.3786e-005
523	15.259	1.8182	0.	6.3484e-005
524	15.259	1.6364	0.	6.3184e-005
525	15.259	1.4545	0.	6.2901e-005
526	15.259	1.2727	0.	6.2653e-005
527	15.259	1.0909	0.	6.2457e-005
528	15.259	0.90909	0.	6.2326e-005
529	15.259	0.72727	0.	6.2271e-005
530	15.259	0.54545	0.	6.2302e-005
531	15.259	0.36364	0.	6.242e-005
532	15.259	0.18182	0.	6.2639e-005
533	15.075	5.8182	0.	6.4574e-005
534	15.075	5.6364	0.	6.4373e-005
535	15.075	5.4545	0.	6.4256e-005
536	15.075	5.2727	0.	6.4211e-005
537	15.075	5.0909	0.	6.4236e-005
538	15.075	4.9091	0.	6.4324e-005
539	15.075	4.7273	0.	6.4466e-005
540	15.075	4.5455	0.	6.465e-005
541	15.075	4.3636	0.	6.4865e-005
542	15.075	4.1818	0.	6.5095e-005
543	15.075	4.	0.	6.5326e-005
544	15.075	3.8182	0.	6.5545e-005
545	15.075	3.6364	0.	6.5738e-005
546	15.075	3.4545	0.	6.5894e-005
547	15.075	3.2727	0.	6.6003e-005
548	15.075	3.0909	0.	6.6059e-005
549	15.075	2.9091	0.	6.6059e-005
550	15.075	2.7273	0.	6.6003e-005
551	15.075	2.5455	0.	6.5894e-005
552	15.075	2.3636	0.	6.5738e-005
553	15.075	2.1818	0.	6.5545e-005
554	15.075	2.	0.	6.5326e-005
555	15.075	1.8182	0.	6.5095e-005
556	15.075	1.6364	0.	6.4865e-005
557	15.075	1.4545	0.	6.465e-005
558	15.075	1.2727	0.	6.4466e-005
559	15.075	1.0909	0.	6.4324e-005
560	15.075	0.90909	0.	6.4236e-005
561	15.075	0.72727	0.	6.4211e-005
562	15.075	0.54545	0.	6.4256e-005
563	15.075	0.36364	0.	6.4373e-005
564	15.075	0.18182	0.	6.4574e-005
565	14.891	5.8182	0.	6.6439e-005
566	14.891	5.6364	0.	6.6255e-005
567	14.891	5.4545	0.	6.6142e-005
568	14.891	5.2727	0.	6.6086e-005
569	14.891	5.0909	0.	6.6089e-005
570	14.891	4.9091	0.	6.6144e-005
571	14.891	4.7273	0.	6.6243e-005
572	14.891	4.5455	0.	6.6378e-005
573	14.891	4.3636	0.	6.6538e-005
574	14.891	4.1818	0.	6.6712e-005
575	14.891	4.	0.	6.6889e-005
576	14.891	3.8182	0.	6.7056e-005
577	14.891	3.6364	0.	6.7205e-005
578	14.891	3.4545	0.	6.7325e-005
579	14.891	3.2727	0.	6.7409e-005
580	14.891	3.0909	0.	6.7452e-005
581	14.891	2.9091	0.	6.7452e-005
582	14.891	2.7273	0.	6.7409e-005
583	14.891	2.5455	0.	6.7325e-005
584	14.891	2.3636	0.	6.7205e-005
585	14.891	2.1818	0.	6.7056e-005
586	14.891	2.	0.	6.6889e-005
587	14.891	1.8182	0.	6.6712e-005
588	14.891	1.6364	0.	6.6538e-005
589	14.891	1.4545	0.	6.6378e-005
590	14.891	1.2727	0.	6.6243e-005
591	14.891	1.0909	0.	6.6144e-005
592	14.891	0.90909	0.	6.6089e-005
593	14.891	0.72727	0.	6.6086e-005
594	14.891	0.54545	0.	6.6142e-005
595	14.891	0.36364	0.	6.6255e-005
596	14.891	0.18182	0.	6.6439e-005
597	14.707	5.8182	0.	6.8249e-005
598	14.707	5.6364	0.	6.8081e-005
599	14.707	5.4545	0.	6.7972e-005
600	14.707	5.2727	0.	6.7911e-005
601	14.707	5.0909	0.	6.7897e-005
602	14.707	4.9091	0.	6.7926e-005
603	14.707	4.7273	0.	6.7992e-005
604	14.707	4.5455	0.	6.8088e-005
605	14.707	4.3636	0.	6.8206e-005
606	14.707	4.1818	0.	6.8336e-005
607	14.707	4.	0.	6.8469e-005
608	14.707	3.8182	0.	6.8596e-005
609	14.707	3.6364	0.	6.8709e-005
610	14.707	3.4545	0.	6.8801e-005
611	14.707	3.2727	0.	6.8866e-005
612	14.707	3.0909	0.	6.8899e-005
613	14.707	2.9091	0.	6.8899e-005
614	14.707	2.7273	0.	6.8866e-005
615	14.707	2.5455	0.	6.8801e-005
616	14.707	2.3636	0.	6.8709e-005
617	14.707	2.1818	0.	6.8596e-005
618	14.707	2.	0.	6.8469e-005
619	14.707	1.8182	0.	6.8336e-005
620	14.707	1.6364	0.	6.8206e-005
621	14.707	1.4545	0.	6.8088e-005
622	14.707	1.2727	0.	6.7992e-005
623	14.707	1.0909	0.	6.7926e-005
624	14.707	0.90909	0.	6.7897e-005
625	14.707	0.72727	0.	6.7911e-005
626	14.707	0.54545	0.	6.7972e-005
627	14.707	0.36364	0.	6.8081e-005
628	14.707	0.18182	0.	6.8249e-005
629	14.523	5.8182	0.	7.0016e-005
630	14.523	5.6364	0.	6.9863e-005
631	14.523	5.4545	0.	6.9759e-005
