Node Number	X Location (in)	Y Location (in)	Z Location (in)	Equivalent Elastic Strain (in/in)
146	22.838	2.3949	0.1	3.2704e-005
147	22.843	1.1961	0.1	2.9309e-005
148	21.678	1.1919	0.1	5.1795e-005
149	20.525	1.1918	0.1	7.599e-005
150	19.369	1.1891	0.1	1.0135e-004
151	18.218	1.1842	0.1	1.2751e-004
152	17.062	1.1814	0.1	1.5466e-004
153	15.912	1.179	0.1	1.8249e-004
154	14.754	1.1788	0.1	2.113e-004
155	13.603	1.1793	0.1	2.4071e-004
156	12.442	1.1821	0.1	2.7118e-004
157	11.268	1.1901	0.1	3.0249e-004
158	10.082	1.2006	0.1	3.3433e-004
159	8.8682	1.2091	0.1	3.6793e-004
160	7.63	1.2143	0.1	4.0224e-004
161	6.4868	1.1101	0.1	4.4497e-004
162	1.1926	2.6999	0.1	7.444e-004
163	1.2557	3.9035	0.1	6.5597e-004
164	5.3329	0.91702	0.1	4.4003e-004
165	4.1321	5.4592	0.1	3.7663e-004
166	0.95015	4.9584	0.1	5.8236e-004
167	2.0814	4.6338	0.1	6.1491e-004
168	4.2934	0.60942	0.1	3.6845e-004
169	4.9929	3.5005	0.1	5.9096e-004
170	4.4264	4.698	0.1	6.1398e-004
171	3.9417	5.0594	0.1	4.9732e-004
172	1.9501	5.2382	0.1	4.6552e-004
173	2.3799	4.2448	0.1	8.9833e-004
174	2.1077	0.5278	0.1	4.5765e-004
175	1.1275	0.77943	0.1	6.2029e-004
176	1.4498	1.9335	0.1	6.7189e-004
177	4.6571	2.6629	0.1	7.114e-004
178	2.3906	2.8437	0.1	8.8581e-004
179	3.2267	4.	0.1	1.5872e-003
180	3.2267	4.5	0.1	6.3569e-004
181	3.2267	5.	0.1	5.5541e-004
182	3.2267	5.5	0.1	1.6741e-004
183	3.06	5.5	0.1	2.6889e-004
184	3.06	5.	0.1	4.3411e-004
185	3.06	4.5	0.1	1.1277e-003
186	3.06	4.	0.1	1.8114e-003
