Node Numbers,X Locations (inches),Y Locations (inches),Z Locations (inches),Equivalent Elastic Strains (in/in),Equivalent Stress (psi),Max Principal Elastic Strain (in/in),Max Principal Stress (psi),Middle Principal Elastic Strain (in/in),Middle Principal Stress (psi),Min Principal Elastic Strain (in/in),Min Principal Stress (psi),Total Deformation (in)
225,18,6,0.1,3.8302e-05,382.75,3.7997e-05,441.74,3.9991e-06,186.29,-2.0572e-05,1.6702,1.4045
226,24,0,0.1,1.2112e-05,121.03,1.1378e-05,114.58,-4.1178e-07,26.001,-6.9764e-06,-23.322,2.2477
227,22.833,0,0.1,2.5005e-05,249.87,2.4199e-05,229.37,-6.6511e-06,-2.4281,-1.1029e-05,-35.319,2.0822
228,21.667,0,0.1,4.4774e-05,447.43,4.4049e-05,429.68,-1.2149e-05,7.4333,-1.8364e-05,-39.267,1.9173
229,20.5,0,0.1,6.4059e-05,640.15,6.2681e-05,600.04,-2.124e-05,-30.51,-2.3741e-05,-49.303,1.7536
230,19.333,0,0.1,5.9127e-05,590.86,5.6918e-05,527.72,-1.9063e-05,-43.162,-2.4134e-05,-81.267,1.5915
231,18.167,0,0.1,3.8846e-05,388.2,4.2361e-05,500.33,-4.148e-06,150.88,-1.3251e-05,82.483,1.4309
232,18,0,0.1,6.1999e-05,619.56,6.5044e-05,741.88,-4.1157e-06,222.24,-2.6212e-05,56.216,1.4045
233,16.875,2.6159e-30,0.1,0.00010144,1013.7,0.00010402,1089.8,-2.9603e-05,85.838,-3.2148e-05,66.72,1.262
234,15.75,2.4415e-30,0.1,0.00016594,1658.2,0.00016567,1651.8,-5.0986e-05,23.986,-5.8861e-05,-35.183,1.1221
235,14.625,2.2671e-30,0.1,0.00021313,2129.8,0.00021199,2096.9,-6.888e-05,-13.505,-7.3997e-05,-51.953,0.98643
236,13.5,2.0927e-30,0.1,0.00023874,2385.7,0.00024011,2427.4,-7.272e-05,76.962,-8.1908e-05,7.9282,0.85605
237,12.375,1.9183e-30,0.1,0.00027272,2725.3,0.00027352,2749.3,-8.673e-05,42.49,-9.1609e-05,5.8293,0.7317
238,11.25,1.744e-30,0.1,0.00030355,3033.4,0.00030439,3058.3,-9.7478e-05,38.824,-0.00010116,11.179,0.61423
239,10.125,1.5696e-30,0.1,0.00033469,3344.6,0.0003356,3371.6,-0.00010735,43.513,-0.00011169,10.879,0.50442
240,9,1.3952e-30,0.1,0.00036673,3664.8,0.00036779,3696.1,-0.00011734,51.038,-0.00012255,11.944,0.40308
241,7.875,1.2208e-30,0.1,0.00039998,3997.1,0.00040136,4038.1,-0.00012696,68.538,-0.0001342,14.14,0.31103
242,6.75,1.0464e-30,0.1,0.00043429,4339.9,0.00043619,4396.6,-0.00013622,95.802,-0.00014648,18.678,0.22913
243,5.625,8.7198e-31,0.1,0.00047004,4697.2,0.00047268,4776.7,-0.00014484,136.84,-0.00015984,24.178,0.15826
244,4.5,6.9758e-31,0.1,0.00050804,5076.9,0.00051221,5202.6,-0.00015325,202.67,-0.00017328,52.135,0.099366
245,3.375,5.2319e-31,0.1,0.00055154,5511.6,0.00055627,5657.1,-0.00016211,259.52,-0.00019155,38.286,0.053443
246,2.25,3.4879e-31,0.1,0.00058834,5879.3,0.00059891,6201.2,-0.00016285,477.64,-0.00020278,177.62,0.021578
247,1.125,1.744e-31,0.1,0.00056472,5643.3,0.00055216,5392.1,-0.00012744,285.84,-0.00025423,-666.87,0.0045192
248,0,0,0.1,0.00029958,2993.7,0.00037813,5325.5,1.731e-06,2497.4,-3.919e-05,2189.9,0
249,1.125,1.744e-31,0,0.00056472,5643.3,0.00025423,666.87,0.00012744,-285.84,-0.00055216,-5392.1,0.0045192
250,2.25,3.4879e-31,0,0.00058834,5879.3,0.00020278,-177.62,0.00016285,-477.64,-0.00059891,-6201.2,0.021578
251,3.375,5.2319e-31,0,0.00055154,5511.6,0.00019155,-38.286,0.00016211,-259.52,-0.00055627,-5657.1,0.053443
252,4.5,6.9758e-31,0,0.00050804,5076.9,0.00017328,-52.135,0.00015325,-202.67,-0.00051221,-5202.6,0.099366
253,5.625,8.7198e-31,0,0.00047004,4697.2,0.00015984,-24.178,0.00014484,-136.84,-0.00047268,-4776.7,0.15826
254,6.75,1.0464e-30,0,0.00043429,4339.9,0.00014648,-18.678,0.00013622,-95.802,-0.00043619,-4396.6,0.22913
255,7.875,1.2208e-30,0,0.00039998,3997.1,0.0001342,-14.14,0.00012696,-68.538,-0.00040136,-4038.1,0.31103
256,9,1.3952e-30,0,0.00036673,3664.8,0.00012255,-11.944,0.00011734,-51.038,-0.00036779,-3696.1,0.40308
257,10.125,1.5696e-30,0,0.00033469,3344.6,0.00011169,-10.879,0.00010735,-43.513,-0.0003356,-3371.6,0.50442
258,11.25,1.744e-30,0,0.00030355,3033.4,0.00010116,-11.179,9.7478e-05,-38.824,-0.00030439,-3058.3,0.61423
259,12.375,1.9183e-30,0,0.00027272,2725.3,9.1609e-05,-5.8293,8.673e-05,-42.49,-0.00027352,-2749.3,0.7317
260,13.5,2.0927e-30,0,0.00023874,2385.7,8.1908e-05,-7.9282,7.272e-05,-76.962,-0.00024011,-2427.4,0.85605
261,14.625,2.2671e-30,0,0.00021313,2129.8,7.3997e-05,51.953,6.888e-05,13.505,-0.00021199,-2096.9,0.98643
262,15.75,2.4415e-30,0,0.00016594,1658.2,5.8861e-05,35.183,5.0986e-05,-23.986,-0.00016567,-1651.8,1.1221
263,16.875,2.6159e-30,0,0.00010144,1013.7,3.2148e-05,-66.72,2.9603e-05,-85.838,-0.00010402,-1089.8,1.262
264,18,0,0,6.1999e-05,619.56,2.6212e-05,-56.216,4.1157e-06,-222.24,-6.5044e-05,-741.88,1.4045
265,0,0,0,0.00029958,2993.7,3.919e-05,-2189.9,-1.731e-06,-2497.4,-0.00037813,-5325.5,0
266,19.333,0,0,5.9127e-05,590.86,2.4134e-05,81.267,1.9063e-05,43.162,-5.6918e-05,-527.72,1.5915
267,20.5,0,0,6.4059e-05,640.15,2.3741e-05,49.303,2.124e-05,30.51,-6.2681e-05,-600.04,1.7536
268,21.667,0,0,4.4774e-05,447.43,1.8364e-05,39.267,1.2149e-05,-7.4333,-4.4049e-05,-429.68,1.9173
269,22.833,0,0,2.5005e-05,249.87,1.1029e-05,35.319,6.6511e-06,2.4281,-2.4199e-05,-229.37,2.0822
270,18.167,0,0,3.8846e-05,388.2,1.3251e-05,-82.483,4.148e-06,-150.88,-4.2361e-05,-500.33,1.4309
271,24,0,0,1.2112e-05,121.03,6.9764e-06,23.322,4.1177e-07,-26.001,-1.1378e-05,-114.58,2.2477
272,17.36,6,0,7.5177e-05,751.26,3.6314e-05,88.046,1.1948e-05,-95.03,-7.3603e-05,-737.83,1.3231
